case,spd_dif_1min,spd_dif_2min,spd_dif_3min,spd_dif_4min,vol_dif_1min,vol_dif_2min,vol_dif_3min,vol_dif_4min,Weather
0,1.100587705,3.79001139,0,2.193445469,5.1,24,0,5.659259259,1
0,1.587261208,2.151330794,1.476469186,1.092273461,16.97291667,23.77037037,22.42962963,2.162962963,0
0,0,0.732899858,0.986529934,8.375947201,0,23.67407407,5.616666667,20.23333333,0
1,2.333834426,1.813178773,3.814497724,1.755686792,4.979166667,23.56,1.994666667,0.544444444,0
0,0.818782588,2.813259281,1.911342524,2.125235431,5,22.24074074,12.43703704,16.00416667,0
0,5.495671164,1.311819675,0,0,25.51111111,21.70833333,0,0,0
0,0,4.511537966,0.011103969,2.482526206,0,21.44166667,0.425,33.77708333,0
0,12.05048282,1.152000157,1.318751088,1.596784555,0.033333333,21.12592593,19.744,14.31851852,0
0,0.71093206,3.562028086,1.694464177,2.842829649,2.866666667,20.776,10,15.58888889,0
1,5.018685118,2.14773641,2.016357129,2.248400672,29.69166667,20.72517007,1.977777778,3.837333333,0
0,1.900212908,8.17142209,1.138092395,2.292247161,7.870833333,20.37037037,44.83541667,33.68333333,0
1,11.44770685,1.285372037,2.553990652,2.537336428,12.7390625,20.14533333,3.585185185,6.797333333,0
0,0.295025271,0.771259325,,0.364269448,1.1,20.11481481,14.71851852,3.277777778,0
0,0,1.795632171,0.655025341,0,0,19.05833333,7.525925926,0,0
0,0.698532267,0.377432582,1.808415156,2.076485796,6.2375,19.05,7.616666667,6.066666667,0
1,4.063940295,1.017457919,2.157149188,1.730079924,23.58958333,18.82083333,27.90555556,2.907407407,1
0,0.893992588,0.840987842,10.52367988,1.665517244,7.041666667,18.71481481,1.703703704,5.074074074,0
0,0,17.04242684,0,7.763453134,0,18.51666667,0,10.80208333,0
1,13.32775378,1.925720501,3.926789718,8.544437847,13.23333333,18.15,10.58958333,7.437037037,0
0,2.983561542,1.70709603,1.833005979,3.322647327,4.166666667,18.14166667,4.479166667,7.075,0
0,0.711565504,0.842121524,2.072339254,4.632527857,3.216666667,17.69259259,11.11111111,5.585185185,0
0,0.431158032,1.416652411,2.980412571,0,7.15,17.64074074,5.108333333,0,0
1,1.399288984,1.359136422,1.043791425,1.358710466,2.485416667,17.47733333,9.208,0.775,0
0,7.523366786,1.885269979,1.349358425,2.731261603,8.896,16.925,16.98541667,7.516666667,0
1,2.45619221,0.340868367,1.100968568,2.557205657,13.70925926,16.87407407,8.045333333,10.86533333,0
